===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2023-06-01 14:50:38
count workspace : c:\Skillbox.Projs\pomodoro\react-ssr
total files : 188
total code lines : 24839
total comment lines : 2279
total blank lines : 2189

.eslintrc.js, code is 27, comment is 0, blank is 2.
.gitignore, code is 2, comment is 0, blank is 0.
bin\dev.js, code is 60, comment is 2, blank is 10.
cfg\webpack.client.config.js, code is 75, comment is 0, blank is 5.
cfg\webpack.server.config.js, code is 65, comment is 0, blank is 3.
dist\client\client.js, code is 1468, comment is 1716, blank is 1273.
dist\client\main.065e8b7dd92be731cac6.hot-update.js, code is 10, comment is 18, blank is 4.
dist\client\main.065e8b7dd92be731cac6.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.17003eafa16d869e5767.hot-update.js, code is 10, comment is 18, blank is 4.
dist\client\main.17003eafa16d869e5767.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.5c602cd92df1c7221b3c.hot-update.js, code is 11, comment is 18, blank is 4.
dist\client\main.5c602cd92df1c7221b3c.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.5d519526f01d386619a2.hot-update.js, code is 11, comment is 18, blank is 4.
dist\client\main.5d519526f01d386619a2.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.688fe5f1c47ebb328da6.hot-update.js, code is 11, comment is 18, blank is 4.
dist\client\main.688fe5f1c47ebb328da6.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.7c9d7581d9e2947270d2.hot-update.js, code is 11, comment is 18, blank is 4.
dist\client\main.7c9d7581d9e2947270d2.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.9375403ea202ed441b35.hot-update.js, code is 10, comment is 18, blank is 4.
dist\client\main.9375403ea202ed441b35.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.9b45be650be110ac7b5e.hot-update.js, code is 10, comment is 18, blank is 4.
dist\client\main.9b45be650be110ac7b5e.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.a36338ef95bb7002be7b.hot-update.js, code is 8, comment is 16, blank is 1.
dist\client\main.a36338ef95bb7002be7b.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.b4495a7d47b0158681e7.hot-update.js, code is 11, comment is 18, blank is 4.
dist\client\main.b4495a7d47b0158681e7.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.c7a50704da2a4e5e0eb0.hot-update.js, code is 8, comment is 16, blank is 1.
dist\client\main.c7a50704da2a4e5e0eb0.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.de35029a6618c9969933.hot-update.js, code is 11, comment is 18, blank is 4.
dist\client\main.de35029a6618c9969933.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.e997ebe2c28e4aca197f.hot-update.js, code is 10, comment is 18, blank is 4.
dist\client\main.e997ebe2c28e4aca197f.hot-update.json, code is 1, comment is 0, blank is 0.
dist\client\main.eea6b6bd7212b94170ea.hot-update.js, code is 10, comment is 18, blank is 4.
dist\client\main.eea6b6bd7212b94170ea.hot-update.json, code is 1, comment is 0, blank is 0.
dist\server\server.js, code is 265, comment is 307, blank is 263.
jest.config.js, code is 4, comment is 1, blank is 0.
package-lock.json, code is 19228, comment is 0, blank is 2.
package.json, code is 79, comment is 0, blank is 0.
package.linux.json, code is 54, comment is 0, blank is 0.
react-ssr.code-workspace, code is 8, comment is 0, blank is 0.
src\App.tsx, code is 66, comment is 0, blank is 7.
src\AppWrapper.tsx, code is 21, comment is 0, blank is 4.
src\client\index.jsx, code is 6, comment is 0, blank is 1.
src\comp.common\Break\break.css, code is 38, comment is 0, blank is 9.
src\comp.common\Break\index.tsx, code is 26, comment is 0, blank is 5.
src\comp.common\CommentsKeeper.ts, code is 17, comment is 0, blank is 6.
src\comp.common\DropdownMenu\dropdownmenu.css, code is 5, comment is 0, blank is 0.
src\comp.common\DropdownMenu\index.tsx, code is 103, comment is 0, blank is 27.
src\comp.common\EmptyComponent.tsx, code is 3, comment is 0, blank is 2.
src\comp.common\HorizTable.tsx, code is 12, comment is 0, blank is 1.
src\comp.common\Icon\icon.css, code is 30, comment is 0, blank is 5.
src\comp.common\Icon\index.tsx, code is 29, comment is 0, blank is 7.
src\comp.common\IconButton.tsx, code is 15, comment is 0, blank is 2.
src\comp.common\ImageWithDefaultSrc\index.tsx, code is 21, comment is 0, blank is 6.
src\comp.common\ListComponent.tsx, code is 43, comment is 0, blank is 5.
